"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"sRNA87",943.990964130065,2.66096304934135,0.646805590024895,2.29265563505497e-06,2.52192119856046e-05
"sRNA76",17.7176592682641,1.11398616328379,0.397845705178737,0.0010703734490505,0.00588705396977776
"sRNA77",44.0305698417671,-0.595164424093362,0.223936197728158,0.0039205781345231,0.014375453159918
"sRNA84",741.390041406574,-0.470366122088136,0.264500169227872,0.0447825097037005,0.114142099006686
"sRNA30",10.9546670701352,0.650159621214809,0.439937424480249,0.0518827722757662,0.114142099006686
"sRNA20",895.532033216164,-0.435868034489198,0.280251890349583,0.0743358069706706,0.136282312779563
"sRNA54",43.9864642734449,0.281450960994015,0.22580728834758,0.174836755822885,0.274743473435963
"sRNA103",19.2634739323208,-0.295560652333551,0.299606363798265,0.2474180041818,0.340199755749975
"sRNA21",45.541989799594,-0.195279512759835,0.206592267174534,0.309521746702494,0.378304357080826
"sRNA85",12.4402371982971,0.264535193359697,0.36446377438656,0.359892658412406,0.395881924253647
"sRNA102",33.6698246328185,0.0581289198642902,0.23022329748433,0.784592669694718,0.784592669694718
